figure_name,figure_value,crisis_index
People in Need,24400000,1
People Targeted for Assistance,22100000,1
Children in Need,12900000,1
People in Food Crisis/Emergency (IPC phase 3+),18844000,1
Undocumented Afghan Returnees from Iran (per year),858956,1
Undocumented Afghan Returnees from Pakistan (per year),7933,1
Conflict-Induced Displacements (per year),677000,1
Returnees from Iran (per year),926000,1
Returnees from Pakistan (per year),12000,1
Civilians Killed and Injured (per year),5183,1
Civilians Killed (per year),1659,1
Civilians Injured (per year),3524,1
KKA Incidents (Killed Kidnapped and Arrested) against Aid Workers (per year),5,1
Aid Workers affected by KKA Incidents (Killed Kidnapped and Arrested per year),20,1
Aid Workers Killed (per year),19,1
Aid Workers Kidnapped (per year),1,1
Aid Workers Arrested (per year),0,1
New Displacements by Conflict & Violence (per year),404000,1
New Displacements by Disasters (per year),46000,1
Rohingya Refugees in Need,1360000,2
People Targeted for Assistance in Cox's Bazar,1360000,2
Rohingya Children in Need,456713,2
Newly Arrived Children from Myanmar in Need of Humanitarian Assistance,459701,2
Total Rohingya Refugees in Cox's Bazar,1374772,2
Refugees in Kutupalong RC in Cox's Bazar,17200,2
Refugees in Kutupalong Expansion Site in Cox's Bazar,617970,2
Refugees in Camp 24 (Leda) in Cox's Bazar,27160,2
Refugees in Camp 26 (Nayapara) in Cox's Bazar,41620,2
Refugees in Camp 27 (Jadimura) in Cox's Bazar,16030,2
Refugees in Camp 25 (Ali Khali) in Cox's Bazar,7870,2
Refugees in Camp 14 (Hakimpara) in Cox's Bazar,33640,2
Refugees in Camp 15 (Jamtoli) in Cox's Bazar,52690,2
Refugees in Camp 22 (Unchiprang) in Cox's Bazar,22300,2
Refugees in Camp 16 (Bagghona/Potibonia) in Cox's Bazar,21930,2
Refugees in Camp 21 (Chakmarkul) in Cox's Bazar,17360,2
Refugees in Camp 23 (Shamlapur) in Cox's Bazar,3110,2
Refugees Assisted with WFP Food Aid in Cox's Bazar,882000,2
People in Need,3500000,3
People Targeted for Assistance,3000000,3
People in Food Crisis/Emergency (IPC Phase 3+),2076319,3
Children Acutely Malnourished,631787,3
Pregnant or Lactating Women Acutely Malnourished,128672,3
Children in Need,2600000,3
IDPs,1481701,3
Children IDPs,868498,3
Refugees in Burkina Faso,24031,3
Malian Refugees in Burkina Faso,23173,3
Schools Closed due to Insecurity,2244,3
Students Affected by Closure of Schools,305000,3
Health Centres Closed,83,3
Health Centres with Reduced Service,273,3
People Affected by Closure of Health Centres,844339,3
Protection Indicents (per month),156,3
People Assisted with WFP Food Assistance (per month),696287,3
New Displacements by Conflict & Violence (per year),515000,3
New Displacements by Disasters (per year),20000,3
People in Need,1800000,4
People Targeted for Assistance,947000,4
Children in Need,1300000,4
IDPs,115981,4
Refugees in Burundi,83862,4
DRC Refugees in Burundi,79662,4
People in Need,4000000,5
People Targeted for Assistance,2800000,5
Children in Need,2300000,5
People in Food Crisis/Emergency (IPC Phase 3+),2625472,5
Refugees & Asylum-Seekers in Cameroon,466263,5
Refugee & Asylum-Seeker Arrivals in Cameroon (per year),13925,5
CAR Refugees in Cameroon,345471,5
Nigerian Refugees in Cameroon,119552,5
Cameroonian Refugees in Nigeria,69400,5
IDPs in North-West & South-West Regions,573900,5
IDPs,936767,5
Returnees,518853,5
IDPs in Far North,544885,5
Returnees in Far North,135257,5
Out-of-camp Refugees in Far North,48902,5
Severely Malnourished Children in Lake Chad Basin Crisis Area,50000,5
People at Food Crisis/Emergency (IPC phase 3+) in the Lake Chad Basin Crisis Area,720000,5
Schools Closed due to Insecurity,68,5
Attacks on Health Care in the North-West and South-West Regions,29,5
People Assisted with WFP Food Assistance (per month),424568,5
New Displacements by Conflict & Violence (per year),123000,5
New Displacements by Disasters (per year),116000,5
People in Need,3100000,6
People Targeted for Assistance,2000000,6
IDPs,669791,6
Children in Need,1400000,6
People in Food Crisis/Emergency (IPC Phase 3+),2095278,6
Children Acutely Malnourished,213897,6
Pregnant or Lactating Women Acutely Malnourished,98035,6
CAR Refugees in the Region,743997,6
CAR Refugees in Cameroon,345471,6
CAR Refugees & Asylum-Seekers in Chad,123684,6
CAR Refugees in DRC,206587,6
CAR Refugees in South Sudan,2244,6
CAR Refugees & Asylum-Seekers in Sudan,27610,6
CAR Refugees in Republic of Congo,26594,6
DRC Refugees & Asylum-Seekers in CAR,11331,6
KKA Incidents (Killed Kidnapped and Arrested) against Aid Workers (per year),7,6
Aid Workers affected by KKA Incidents (Killed Kidnapped and Arrested per year),10,6
Aid Workers Killed (per year),6,6
Aid Workers Kidnapped (per year),4,6
Aid Workers Arrested (per year),0,6
Incidents Affecting Humanitarian Organisations (per year),387,6
Incidents Affecting Humanitarian Organisations (per month),22,6
People Assisted with WFP Food Assistance (per month),608260,6
New Displacements by Conflict (per year),318000,6
New Displacements by Natural Disasters (per year),15000,6
People in Need,5500000,7
People Targeted for Assistance,3500000,7
Children in Need,2700000,7
People in Food Crisis/Emergency (IPC phase 3+),1276191,7
Children Acutely Malnourished,1668000,7
Pregnant or Lactating Women Acutely Malnourished,248000,7
IDPs,406573,7
Refugees & Asylum-Seekers in Chad,529065,7
Sudanese Refugees & Asylum-Seekers in Chad,376030,7
CAR Refugees & Asylum-Seekers in Chad,123684,7
Nigerian Refugees & Asylum-Seekers in Chad,19287,7
Cameroonian Refugees & Asylum-Seekers in Chad,8860,7
Chadian Refugees & Asylum-Seekers in Sudan,3934,7
Protection Incidents in Lac Region (per year),1196,7
Protection Incidents in Lac Region (per month),233,7
Severely Malnourished Children in Lake Chad Basin Crisis Area,30000,7
People at Food Crisis/Emergency (IPC phase 3+) in the Lake Chad Basin Crisis Area,110000,7
Non-Functional Schools,10,7
Children under 5 with Severe Acute Malnutrition,401090,7
People Assisted with WFP Food Assistance (per month),441065,7
New Displacements by Conflict & Violence (per year),79000,7
New Displacements by Disasters (per year),71000,7
People in Need,7700000,8
People Targeted for Assistance,2000000,8
Children in Need,2300000,8
Venezuelan Refugees and Migrants in Colombia,1840000,8
New Displacements by Conflict and Violence (per year),106000,8
New Displacements by Disasters (per year),64000,8
People Receiving WFP Food Assistance (per month),409696,8
People in Need,27000000,9
People Targeted for Assistance,8800000,9
Chidren in Need,11500000,9
People in Food Crisis/Emergency (IPC phase 3+),27020164,9
Acutely Malnourished Children,857000,9
Pregnant or Lactating Women Acutely Malnourished,468000,9
IDPs,5600000,9
Children IDPs,3300000,9
Returnees,2940000,9
Refugees & Asylum-Seekers in DRC,529687,9
Biometrically Registered Refugees in DRC,517108,9
CAR Refugees in DRC,206587,9
Rwandan Refugees in DRC,210969,9
Rwandan Refugees Repatriated from DRC (cumulative per year),1590,9
S. Sudanese Refugees in DRC,56539,9
Burundian Refugees in DRC,41834,9
DRC Refugees & Asylum-Seekers,998511,9
DRC Refugees & Asylum-Seekers in Uganda,449863,9
DRC Refugees in Southern Africa,121196,9
DRC Refugees in Burundi,79662,9
DRC Refugees in Tanzania,79002,9
DRC Refugees & Asylum-Seekers in Rwanda,74836,9
DRC Refugees & Asylum-Seekers in Zambia,63681,9
DRC Refugees & Asylum-Seekers in Kenya,48262,9
DRC Refugees in Republic of Congo,20371,9
DRC Refugees in South Sudan,16821,9
DRC Refugees in Malawi,31409,9
DRC Refugees in Zimbabwe,12020,9
DRC Refugees & Asylum-Seekers in CAR,11331,9
DRC Refugees & Asylum-Seekers in Angola,23665,9
Schools Closed due to Insecurity,311,9
KKA Incidents (Killed Kidnapped and Arrested) against Aid Workers (per year),7,9
Aid Workers affected by KKA Incidents (Killed Kidnapped and Arrested per year),12,9
Aid Workers Killed (per year),2,9
Aid Workers Kidnapped (per year),8,9
Aid Workers Arrested (per year),2,9
Children with Severe Acute Malnutrition,1400000,9
Incidents Affecting Humanitarian Organisations (per year),260,9
Incidents Affecting Humanitarian Organisations (per month),21,9
