figure_source,figure_date,figure_name
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
UNICEF,2021-12-07,Children in Need
IPC,2021-10-25,People in Food Crisis/Emergency (IPC phase 3+)
IOM,2021-09-09,Undocumented Afghan Returnees from Iran (per year)
IOM,2021-09-09,Undocumented Afghan Returnees from Pakistan (per year)
OCHA,2021-09-30,Conflict-Induced Displacements (per year)
OCHA,2021-09-30,Returnees from Iran (per year)
OCHA,2021-09-30,Returnees from Pakistan (per year)
UNAMA,2021-06-30,Civilians Killed and Injured (per year)
UNAMA,2021-06-30,Civilians Killed (per year)
UNAMA,2021-06-30,Civilians Injured (per year)
Insecurity Insight,2021-09-30,KKA Incidents (Killed Kidnapped and Arrested) against Aid Workers (per year)
Insecurity Insight,2021-09-30,Aid Workers affected by KKA Incidents (Killed Kidnapped and Arrested per year)
Insecurity Insight,2021-09-30,Aid Workers Killed (per year)
Insecurity Insight,2021-09-30,Aid Workers Kidnapped (per year)
Insecurity Insight,2021-09-30,Aid Workers Arrested (per year)
IDMC,2020-12-31,New Displacements by Conflict & Violence (per year)
IDMC,2020-12-31,New Displacements by Disasters (per year)
ISCG,2021-05-11,Rohingya Refugees in Need
ISCG,2021-05-11,People Targeted for Assistance in Cox's Bazar
UNICEF,2021-12-08,Rohingya Children in Need
UNICEF,2021-06-30,Newly Arrived Children from Myanmar in Need of Humanitarian Assistance
ISCG,2021-10-31,Total Rohingya Refugees in Cox's Bazar
ISCG,2021-10-31,Refugees in Kutupalong RC in Cox's Bazar
ISCG,2021-10-31,Refugees in Kutupalong Expansion Site in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 24 (Leda) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 26 (Nayapara) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 27 (Jadimura) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 25 (Ali Khali) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 14 (Hakimpara) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 15 (Jamtoli) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 22 (Unchiprang) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 16 (Bagghona/Potibonia) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 21 (Chakmarkul) in Cox's Bazar
ISCG,2021-10-31,Refugees in Camp 23 (Shamlapur) in Cox's Bazar
WFP,2021-10-31,Refugees Assisted with WFP Food Aid in Cox's Bazar
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
CILSS,2021-04-29,People in Food Crisis/Emergency (IPC Phase 3+)
CILSS,2021-01-15,Children Acutely Malnourished
IPC,2021-01-15,Pregnant or Lactating Women Acutely Malnourished
UNICEF,2021-12-08,Children in Need
UNHCR,2021-10-31,IDPs
UNICEF,2021-08-31,Children IDPs
UNHCR,2021-10-31,Refugees in Burkina Faso
UNHCR,2021-09-30,Malian Refugees in Burkina Faso
UNICEF,2021-09-22,Schools Closed due to Insecurity
OCHA,2021-09-30,Students Affected by Closure of Schools
OCHA,2021-09-22,Health Centres Closed
OCHA,2021-09-30,Health Centres with Reduced Service
OCHA,2021-09-30,People Affected by Closure of Health Centres
OCHA,2021-03-31,Protection Indicents (per month)
WFP,2021-11-30,People Assisted with WFP Food Assistance (per month)
IDMC,2020-12-31,New Displacements by Conflict & Violence (per year)
IDMC,2020-12-31,New Displacements by Disasters (per year)
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
OCHA,2021-12-07,Children in Need
IOM,2021-11-30,IDPs
UNHCR,2021-11-30,Refugees in Burundi
UNHCR,2021-06-30,DRC Refugees in Burundi
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
UNICEF,2021-12-08,Children in Need
IPC,2021-04-29,People in Food Crisis/Emergency (IPC Phase 3+)
UNHCR,2021-12-31,Refugees & Asylum-Seekers in Cameroon
UNHCR,2021-11-30,Refugee & Asylum-Seeker Arrivals in Cameroon (per year)
UNHCR,2021-11-30,CAR Refugees in Cameroon
UNHCR,2021-11-30,Nigerian Refugees in Cameroon
UNHCR,2021-10-31,Cameroonian Refugees in Nigeria
OCHA,2021-10-31,IDPs in North-West & South-West Regions
UNHCR,2021-11-30,IDPs
UNHCR,2021-11-30,Returnees
IOM,2021-07-18,IDPs in Far North
IOM,2021-07-18,Returnees in Far North
IOM,2021-03-31,Out-of-camp Refugees in Far North
OCHA,2021-11-29,Severely Malnourished Children in Lake Chad Basin Crisis Area
OCHA,2021-11-29,People at Food Crisis/Emergency (IPC phase 3+) in the Lake Chad Basin Crisis Area
UNICEF,2021-11-29,Schools Closed due to Insecurity
WHO,2021-06-30,Attacks on Health Care in the North-West and South-West Regions
WFP,2021-09-30,People Assisted with WFP Food Assistance (per month)
IDMC,2020-12-31,New Displacements by Conflict & Violence (per year)
IDMC,2020-12-31,New Displacements by Disasters (per year)
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
CMP,2021-11-30,IDPs
UNICEF,2021-12-08,Children in Need
IPC,2021-10-29,People in Food Crisis/Emergency (IPC Phase 3+)
IPC,2021-10-29,Children Acutely Malnourished
IPC,2021-10-29,Pregnant or Lactating Women Acutely Malnourished
UNHCR,2021-11-30,CAR Refugees in the Region
UNHCR,2021-11-30,CAR Refugees in Cameroon
UNHCR,2021-10-31,CAR Refugees & Asylum-Seekers in Chad
UNHCR,2021-11-30,CAR Refugees in DRC
UNHCR,2021-04-30,CAR Refugees in South Sudan
UNHCR,2021-11-30,CAR Refugees & Asylum-Seekers in Sudan
UNHCR,2021-09-30,CAR Refugees in Republic of Congo
UNHCR,2021-08-31,DRC Refugees & Asylum-Seekers in CAR
Insecurity Insight,2021-09-30,KKA Incidents (Killed Kidnapped and Arrested) against Aid Workers (per year)
Insecurity Insight,2021-09-30,Aid Workers affected by KKA Incidents (Killed Kidnapped and Arrested per year)
Insecurity Insight,2021-09-30,Aid Workers Killed (per year)
Insecurity Insight,2021-09-30,Aid Workers Kidnapped (per year)
Insecurity Insight,2021-09-30,Aid Workers Arrested (per year)
OCHA,2021-11-30,Incidents Affecting Humanitarian Organisations (per year)
OCHA,2021-11-30,Incidents Affecting Humanitarian Organisations (per month)
WFP,2021-11-30,People Assisted with WFP Food Assistance (per month)
IDMC,2020-12-31,New Displacements by Conflict (per year)
IDMC,2020-12-31,New Displacements by Natural Disasters (per year)
OCHA,2021-12-02,People in Need
OCHA,2021-12-02,People Targeted for Assistance
UNICEF,2021-12-08,Children in Need
Government of Chad,2021-03-29,People in Food Crisis/Emergency (IPC phase 3+)
IPC,2021-12-23,Children Acutely Malnourished
IPC,2021-12-23,Pregnant or Lactating Women Acutely Malnourished
UNHCR,2021-10-31,IDPs
UNHCR,2021-10-31,Refugees & Asylum-Seekers in Chad
UNHCR,2021-11-30,Sudanese Refugees & Asylum-Seekers in Chad
UNHCR,2021-10-31,CAR Refugees & Asylum-Seekers in Chad
UNHCR,2021-10-31,Nigerian Refugees & Asylum-Seekers in Chad
UNHCR,2021-10-31,Cameroonian Refugees & Asylum-Seekers in Chad
UNHCR,2021-11-30,Chadian Refugees & Asylum-Seekers in Sudan
UNHCR,2021-09-30,Protection Incidents in Lac Region (per year)
UNHCR,2021-09-30,Protection Incidents in Lac Region (per month)
OCHA,2021-11-29,Severely Malnourished Children in Lake Chad Basin Crisis Area
OCHA,2021-11-29,People at Food Crisis/Emergency (IPC phase 3+) in the Lake Chad Basin Crisis Area
OCHA,2021-11-29,Non-Functional Schools
OCHA,2021-03-31,Children under 5 with Severe Acute Malnutrition
WFP,2021-11-30,People Assisted with WFP Food Assistance (per month)
